time,density1,density2,density3,density4,density5,density6,density7
900.000000, 11.494253, 6.211180, 3.663004, 0.000000, 28.776978, 12.251149, 3.305785
915.000000, 0.000000, 21.739130, 10.989011, 0.000000, 14.388489, 13.782542, 0.000000
930.000000, 0.000000, 6.211180, 21.978022, 0.000000, 14.388489, 13.782542, 0.000000
945.000000, 0.000000, 9.316770, 7.326007, 10.380623, 43.165468, 10.719755, 0.000000
960.000000, 11.494253, 9.316770, 10.989011, 6.920415, 35.971223, 9.188361, 1.652893
975.000000, 11.494253, 18.633540, 10.989011, 0.000000, 14.388489, 10.719755, 13.223140
990.000000, 11.494253, 9.316770, 10.989011, 0.000000, 0.000000, 16.845329, 9.917355
1005.000000, 11.494253, 6.211180, 7.326007, 3.460208, 7.194245, 6.125574, 9.917355
1020.000000, 0.000000, 9.316770, 18.315018, 3.460208, 0.000000, 6.125574, 13.223140
1035.000000, 0.000000, 3.105590, 21.978022, 3.460208, 0.000000, 6.125574, 3.305785
1050.000000, 0.000000, 3.105590, 3.663004, 24.221453, 14.388489, 6.125574, 4.958678
1065.000000, 0.000000, 6.211180, 3.663004, 0.000000, 50.359712, 4.594181, 1.652893
1080.000000, 11.494253, 3.105590, 0.000000, 3.460208, 50.359712, 6.125574, 0.000000
1095.000000, 22.988506, 3.105590, 0.000000, 0.000000, 57.553957, 4.594181, 0.000000
1110.000000, 0.000000, 9.316770, 0.000000, 0.000000, 64.748201, 3.062787, 0.000000
1125.000000, 11.494253, 9.316770, 10.989011, 0.000000, 7.194245, 15.313936, 4.958678
1140.000000, 0.000000, 6.211180, 3.663004, 3.460208, 7.194245, 22.970904, 0.000000
1155.000000, 0.000000, 12.422360, 7.326007, 3.460208, 7.194245, 18.376723, 13.223140
1170.000000, 0.000000, 9.316770, 10.989011, 3.460208, 28.776978, 12.251149, 18.181818
1185.000000, 11.494253, 9.316770, 10.989011, 3.460208, 7.194245, 13.782542, 8.264463
1200.000000, 11.494253, 6.211180, 3.663004, 6.920415, 7.194245, 15.313936, 0.000000
1215.000000, 11.494253, 18.633540, 10.989011, 6.920415, 7.194245, 15.313936, 1.652893
1230.000000, 0.000000, 3.105590, 21.978022, 10.380623, 14.388489, 15.313936, 0.000000
1245.000000, 0.000000, 3.105590, 14.652015, 6.920415, 21.582734, 12.251149, 0.000000
1260.000000, 11.494253, 6.211180, 10.989011, 10.380623, 43.165468, 10.719755, 0.000000
1275.000000, 22.988506, 6.211180, 3.663004, 6.920415, 7.194245, 12.251149, 14.876033
1290.000000, 34.482759, 9.316770, 3.663004, 3.460208, 7.194245, 21.439510, 9.917355
1305.000000, 11.494253, 12.422360, 14.652015, 0.000000, 0.000000, 12.251149, 8.264463
1320.000000, 0.000000, 12.422360, 18.315018, 0.000000, 0.000000, 12.251149, 18.181818
1335.000000, 0.000000, 3.105590, 29.304029, 0.000000, 14.388489, 6.125574, 8.264463
1350.000000, 0.000000, 3.105590, 0.000000, 20.761246, 7.194245, 7.656968, 4.958678
1365.000000, 0.000000, 9.316770, 3.663004, 0.000000, 43.165468, 7.656968, 3.305785
1380.000000, 11.494253, 12.422360, 7.326007, 0.000000, 28.776978, 7.656968, 6.611570
1395.000000, 34.482759, 9.316770, 7.326007, 0.000000, 35.971223, 6.125574, 3.305785
1410.000000, 0.000000, 9.316770, 18.315018, 0.000000, 35.971223, 4.594181, 0.000000
1425.000000, 11.494253, 6.211180, 36.630037, 0.000000, 7.194245, 12.251149, 9.917355
1440.000000, 11.494253, 3.105590, 32.967033, 6.920415, 7.194245, 15.313936, 8.264463
1455.000000, 0.000000, 12.422360, 3.663004, 13.840830, 21.582734, 4.594181, 9.917355
